Tool,Moniker,Category,Severity,RSS Available,Feed URL,Tracking Method,Repo URL,Repo Status,Stars,Contributors,Docs URL,Website URL,Source Type,Discovery Method,Launch Status,Last Seen Update,Status
Aider,aider-cli,Editor/IDE,Minor,✅,https://github.com/paul-gauthier/aider/releases.atom,RSS direct,https://github.com/paul-gauthier/aider,Active,6500,120,N/A,N/A,,,,,Minor: v0.86.2.dev (2025-08-15)
Zed,zed-editor,Editor/IDE,Minor,✅,https://github.com/zed-industries/zed/releases.atom,RSS direct,https://github.com/zed-industries/zed,Active,61400,1033,https://zed.dev/docs,https://zed.dev,,,,,Minor: Why LLMs Can't Really Build Software - Zed Blog (2025-08-15)
Cursor,cursor-ide,Editor/IDE,Major,❌,N/A,Scrape/manual,N/A,Closed-source,,,https://docs.cursor.com/chat/overview,https://cursor.com,,,,,Minor: Show HN: Cursor for Your Help Center (2025-08-14)
Windsurf,winds-codeium,Editor/IDE,Minor,❌,N/A,Scrape/manual,N/A,Closed-source,,,https://docs.codeium.com/windsurf/getting-started,https://codeium.com/windsurf,,,,,"Minor: Three weeks after acquiring Windsurf, Cognition offers staff the exit door (2025-08-05)"
GitHub Copilot,gh-copilot,Editor/IDE,Minor,❌,N/A,Scrape/manual,N/A,Closed-source,,,N/A,https://github.com/features/copilot,,,,,
JetBrains AI Assistant,jb-ai-assistant,Editor/IDE,Minor,❌,N/A,Scrape/manual,N/A,Closed-source,,,N/A,https://jetbrains.com,,,,,
Amazon Q Developer,aws-q-dev,Editor/IDE,Minor,❌,N/A,Scrape/manual,N/A,Closed-source,,,N/A,https://aws.amazon.com/q/developer,,,,,
Gemini Code Assist,gcp-gemini-code,Editor/IDE,Minor,❌,N/A,Scrape/manual,N/A,Closed-source,,,N/A,https://cloud.google.com/products/gemini/code-assist,,,,,
Qodo Gen,qodo-gen,Editor/IDE,Minor,❌,N/A,Scrape/manual,N/A,Closed-source,,,https://docs.qodo.ai,https://qodo.ai/products/ide-plugin,,,,,
Work with Apps by ChatGPT,openai-work-apps,Editor/IDE,Minor,❌,N/A,Scrape/manual,N/A,Closed-source,,,N/A,https://openai.com/chatgpt/desktop,,,,,
Claude Code,claude-code,Agent,Major,❌,https://www.anthropic.com/rss.xml,Blog RSS filter,N/A,Closed-source,,,https://docs.anthropic.com/en/docs/claude-code,https://anthropic.com/claude-code,,,,,Minor: Show HN: Happy Coder – End-to-End Encrypted Mobile Client for Claude Code (2025-08-14)
OpenHands,openhands,Agent,Minor,✅,https://github.com/All-Hands-AI/OpenHands/releases.atom,RSS direct,https://github.com/All-Hands-AI/OpenHands,Active,37800,213,https://docs.all-hands.dev,N/A,,,,,Minor: 0.53.0 (2025-08-15)
Cline,cline-agent,Agent,Minor,✅,https://github.com/cline/cline/releases.atom,RSS direct,https://github.com/cline/cline,Active,13200,7,N/A,N/A,,,,,Minor: v3.25.2 (2025-08-15)
Devin AI,devin-ai,Agent,Ignore,❌,N/A,Scrape/manual,N/A,Closed-source,,,N/A,https://cognition.ai/blog/introducing-devin,,,,,
ChatDev,chatdev,Agent,Ignore,✅,https://github.com/OpenBMB/ChatDev/releases.atom,RSS direct,https://github.com/OpenBMB/ChatDev,Semi-active,,,https://arxiv.org/pdf/2307.07924.pdf,N/A,,,,,Major: v1.1.6 (2025-08-15)
GPT Pilot by Pythagora,gpt-pilot,Agent,Ignore,✅,https://github.com/Pythagora-io/gpt-pilot/releases.atom,RSS direct,https://github.com/Pythagora-io/gpt-pilot,Semi-active,,,N/A,N/A,,,,,Minor: 0.2.13 (2025-08-15)
MetaGPT,metagpt,Agent,Ignore,✅,https://github.com/geekan/MetaGPT/releases.atom,RSS direct,https://github.com/geekan/MetaGPT,Semi-active,,,https://docs.deepwisdom.ai/main/en,N/A,,,,,Minor: v0.8.2 (2025-08-15)
Gorilla,gorilla-berkeley,Agent,Ignore,✅,https://github.com/ShishirPatil/gorilla/releases.atom,RSS direct,https://github.com/ShishirPatil/gorilla,Inactive,,,N/A,https://gorilla.cs.berkeley.edu,,,,,Major: Berkeley Function Calling Leaderboard Updates (v1.3) (2025-08-15)
CodeMate,codemate,Code Review,Minor,❌,N/A,Scrape/manual,N/A,Closed-source,,,https://docs.codemate.ai,https://codemate.ai,,,,,
CodeRabbit,coderabbit,Code Review,Minor,❌,N/A,Scrape/manual,N/A,Closed-source,,,https://docs.coderabbit.ai,https://coderabbit.ai,,,,,Minor: Core features​ (2025-08-11)
Qodo Merge,qodo-merge,Code Review,Minor,✅,https://github.com/Codium-ai/pr-agent/releases.atom,RSS direct,https://github.com/Codium-ai/pr-agent,Active,6100,88,https://qodo-merge-docs.qodo.ai,https://qodo.ai/products/git-plugin,,,,,Minor: v0.30 (2025-08-15)
GitLab Duo,gitlab-duo,Code Review,Minor,❌,N/A,Scrape/manual,N/A,Closed-source,,,https://docs.gitlab.com/ee/user/gitlab_duo,https://about.gitlab.com/gitlab-duo,,,,,
AI Code Review Action,gh-ai-code-review-action,Code Review,Minor,✅,https://github.com/marketplace/actions/ai-code-review-action/releases.atom,RSS direct,https://github.com/marketplace/actions/ai-code-review-action,Active,,,N/A,N/A,,,,,
Korbit,korbit,Code Review,Minor,❌,N/A,Scrape/manual,N/A,Closed-source,,,N/A,https://korbit.ai,,,,,
Supermaven,supermaven,Misc,Ignore,❌,N/A,N/A,N/A,Merged into Cursor,,,N/A,https://supermaven.com,,,,,
PolitePol,politepol,Misc,Ignore,❌,N/A,N/A,https://github.com/taroved/pol,Active,,,N/A,https://politepol.com,,,,,
Code ReviewManage code changes,code-reviewmanage-code-changes,pending_review,,,,,,,,,,https://github.com/features/code-review,Scraped,site_rescan,,,pending_review
DiscussionsCollaborate outside of code,discussionscollaborate-outside-of-code,pending_review,,,,,,,,,,https://github.com/features/discussions,Scraped,site_rescan,,,pending_review
Preview GitHub Copilot coding agent,preview-github-copilot-coding-agent,pending_review,,,,,,,,,,http://gh.io/copilot-coding-agent-docs,Scraped,site_rescan,,,pending_review
JetBrainsIDEs,jetbrainsides,pending_review,,,,,,,,,,https://plugins.jetbrains.com/plugin/17718-github-copilot,Scraped,site_rescan,,,pending_review
agent mode,agent-mode,pending_review,,,,,,,,,,https://developers.google.com/gemini-code-assist/docs/use-agentic-chat-pair-programmer#before-you-begin,Scraped,site_rescan,,,pending_review
JetBrains IDEs,jetbrains-ides,pending_review,,,,,,,,,,https://cloud.google.com/gemini/docs/codeassist/write-code-gemini#intellij,Scraped,site_rescan,,,pending_review
Cloud Shell Editor,cloud-shell-editor,pending_review,,,,,,,,,,https://cloud.google.com/code/docs/shell/write-code-gemini,Scraped,site_rescan,,,pending_review
Gemini in JetBrains IDEs,gemini-in-jetbrains-ides,pending_review,,,,,,,,,,https://plugins.jetbrains.com/plugin/24198-gemini-code-assist/,Scraped,site_rescan,,,pending_review
"Introducing Qodo Command: Build, Run, and Automate Agents Anywhere in your SDLC",introducing-qodo-command-build-run-and-automate-agents-anywhere-in-your-sdlc,pending_review,,,,,,,,,,https://www.qodo.ai/blog/introducing-qodo-gen-cli-build-run-and-automate-agents-anywhere-in-your-sdlc/,Scraped,site_rescan,,,pending_review
"Qodo CommandBuild, manage and run agents from the terminal",qodo-commandbuild-manage-and-run-agents-from-the-terminal,pending_review,,,,,,,,,,https://www.qodo.ai/products/qodo-command/,Scraped,site_rescan,,,pending_review
Qodo MergeGit agent for code review,qodo-mergegit-agent-for-code-review,pending_review,,,,,,,,,,https://www.qodo.ai/products/qodo-merge/,Scraped,site_rescan,,,pending_review
Qodo GenIDE agent for coding and testing,qodo-genide-agent-for-coding-and-testing,pending_review,,,,,,,,,,https://www.qodo.ai/products/qodo-gen/,Scraped,site_rescan,,,pending_review
